City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Bontang,ID,2023-01-19 22:08:45,0.1333,117.5,75.76,90,100,3.94
215,Saskylakh,RU,2023-01-19 22:08:45,71.9167,114.0833,-42.11,100,81,4.29
216,La Ronge,CA,2023-01-19 22:08:46,55.1001,-105.2842,21.09,96,88,2.44
217,Ingham,US,2023-01-19 22:08:46,42.6,-84.3833,44.55,93,100,3.44
218,Katsuura,JP,2023-01-19 22:08:47,35.1333,140.3,45.39,85,100,7.11
219,Porto Velho,BR,2023-01-19 22:08:47,-8.7619,-63.9039,75.25,94,40,2.3
220,Kharitonovo,RU,2023-01-19 22:08:48,61.4009,47.4978,28.22,93,100,11.5
221,Ouidah,BJ,2023-01-19 22:07:08,6.3631,2.0851,80.44,80,87,9.8
222,Sambava,MG,2023-01-19 22:08:48,-14.2667,50.1667,74.77,87,100,13.71
223,Vaniyambadi,IN,2023-01-19 22:08:49,12.6833,78.6167,61.18,94,5,1.79
224,Tondon,GN,2023-01-19 22:08:49,10.3667,-13.35,70.97,70,82,1.57
225,Mahebourg,MU,2023-01-19 21:59:40,-20.4081,57.7,77.29,94,75,6.91
226,Praia Da Vitoria,PT,2023-01-19 22:08:50,38.7333,-27.0667,56.75,80,23,6.51
227,Itaituba,BR,2023-01-19 22:08:51,-4.2761,-55.9836,73.49,97,96,1.88
228,Port Hardy,CA,2023-01-19 22:06:46,50.6996,-127.4199,42.33,79,100,13.47
229,Conceicao Do Araguaia,BR,2023-01-19 22:08:52,-8.2578,-49.2647,70.93,94,100,2.93
230,Sterlitamak,RU,2023-01-19 22:08:52,53.6246,55.9502,-8.64,94,7,2.39
231,Krasnyy Chikoy,RU,2023-01-19 22:08:53,50.3643,108.7512,-17.81,96,100,2.01
232,Karacakoy,TR,2023-01-19 22:08:54,41.4029,28.3834,57.67,68,2,11.36
233,Gorodishche,RU,2023-01-19 22:08:55,48.8045,44.4744,18.48,79,0,11.18
234,Huarmey,PE,2023-01-19 22:09:55,-10.0681,-78.1522,73.27,72,78,8.21
235,Kenmare,IE,2023-01-19 22:09:55,51.8833,-9.5833,35.08,91,70,1.79
236,Puerto Cabezas,NI,2023-01-19 22:09:56,14.0351,-83.3888,79.05,80,25,7.85
237,Alappuzha,IN,2023-01-19 22:09:56,9.49,76.3264,71.2,70,11,8.12
238,Husavik,IS,2023-01-19 22:09:57,66.0449,-17.3389,16.2,84,100,9.37
239,Lorengau,PG,2023-01-19 22:09:57,-2.0226,147.2712,80.38,83,100,10.76
240,Kitale,KE,2023-01-19 22:09:58,1.0157,35.0062,55.58,73,34,1.3
241,Lhokseumawe,ID,2023-01-19 22:09:58,5.1801,97.1507,74.89,85,78,3.11
242,Mosquera,CO,2023-01-19 22:07:05,4.7059,-74.2302,53.69,87,75,10.36
243,Dingle,PH,2023-01-19 22:09:59,10.9995,122.6711,74.17,95,66,7.67
244,Tiksi,RU,2023-01-19 22:10:00,71.6872,128.8694,-27.99,100,87,3.33
245,Kubanskiy,RU,2023-01-19 22:10:00,45.9292,40.5806,36.68,80,12,12.77
246,Kalyazin,RU,2023-01-19 22:10:01,57.2403,37.8433,34.11,98,100,12.88
247,Broome,US,2023-01-19 22:10:01,42.2506,-75.833,39.7,91,100,10.36
248,Linxia,CN,2023-01-19 22:10:01,35.6003,103.2064,11.8,82,83,2.04
249,El Tigre,VE,2023-01-19 22:10:02,8.8875,-64.2454,82.06,49,75,11.03
250,Tahoua,NE,2023-01-19 22:10:03,14.8888,5.2692,71.22,16,0,10.2
251,Mataram,ID,2023-01-19 22:10:04,-8.5833,116.1167,76.01,90,100,3.27
252,Lebu,CL,2023-01-19 22:10:04,-37.6167,-73.65,62.38,77,34,5.64
253,Vanimo,PG,2023-01-19 22:10:04,-2.6741,141.3028,77.72,86,100,3.8
